pair,n_trials,n_participants,mean_rt,sd_rt,median_rt
barrel1_barrel1,352,45,603.5056818181818,214.7292735895269,565.5
bottleopener1_bottleopener1,351,45,607.6609686609687,422.55011758630695,536
candybar1_candybar2,120,15,530.7666666666668,194.72120700987796,488.5
candybar1_candybar3,120,15,549.5666666666667,183.60405578232712,497.5
candybar1_candybar4,119,15,557.2605042016806,473.05067385749675,495
candybar2_candybar3,119,15,483.4957983193278,124.22954928035301,478
candybar2_candybar4,118,15,525.3305084745763,118.60074912814142,509
candybar3_candybar4,119,15,480.436974789916,120.1914883655091,475
clock1_clock2,80,10,545.2375,198.6126720847847,499
clock1_clock3,80,10,526.725,107.6088762749828,501.5
clock1_clock4,80,10,538.8875,132.7148836721084,504.5
clock2_clock3,80,10,540.125,195.84231418494946,517
clock2_clock4,80,10,545.0625,200.75549356419248,511
clock3_clock4,78,10,590.6923076923077,166.9567412432138,559.5
fishingrod1_fishingrod1,349,45,621.3868194842407,322.06149364344043,550
fork1_fork2,68,9,557,102.44314039956689,536
fork1_fork3,71,9,566.7323943661971,140.59749619254845,548
fork1_fork4,72,9,541.1527777777778,144.52629369647607,501
fork2_fork3,72,9,555.5138888888889,108.74132545044627,543.5
fork2_fork4,72,9,512.8333333333334,91.47184589560493,503.5
fork3_fork4,71,9,514.7183098591549,99.63794215610143,503
fridge1_fridge1,349,45,633.6074498567335,285.3142209161397,572
handmirror1_handmirror1,353,45,578.8753541076487,179.51581434815606,544
hotairballoon1_hotairballoon1,352,45,619.0596590909091,334.05373327588035,558
ladder1_ladder1,348,45,590.8735632183909,215.96968805337482,531.5
measuringtape1_measuringtape1,347,45,603.5446685878964,379.89754497133964,535
musicstand1_musicstand2,87,11,527.2643678160919,272.17314341178815,448
musicstand1_musicstand3,87,11,577.8505747126437,190.26667507741524,536
musicstand1_musicstand4,87,11,539.7931034482758,219.231063085622,488
musicstand2_musicstand3,88,11,538.3863636363637,212.7886778498979,498.5
musicstand2_musicstand4,88,11,502.3863636363637,115.0144850266053,489.5
musicstand3_musicstand4,88,11,512.7386363636364,123.72378341300092,481
pie1_pie1,355,45,594.4028169014084,474.3392174513737,528
pill1_pill1,349,45,576.1633237822349,172.35326668226259,533
plate1_plate2,80,10,527.5,116.8718870160123,511.5
plate1_plate3,79,10,542.4050632911392,151.7504293059734,521
plate1_plate4,80,10,536.7625,156.01778896870553,514.5
plate2_plate3,79,10,557.1772151898733,216.47003461092044,511
plate2_plate4,79,10,541.2151898734177,120.36554056727877,511
plate3_plate4,79,10,541.3417721518988,135.35072069143558,512
starfish1_starfish2,110,14,558.2,178.80406990011176,518.5
starfish1_starfish3,112,14,553.5267857142857,231.1276687808315,499.5
starfish1_starfish4,110,14,520.3818181818182,158.53248917841492,475.5
starfish2_starfish3,111,14,609.6396396396398,594.304403067421,522
starfish2_starfish4,111,14,579.8918918918919,320.99819742771575,504
starfish3_starfish4,111,14,548.1171171171171,176.71681191508523,522
tire1_tire2,68,9,595.5882352941177,161.34677915318912,561.5
tire1_tire3,72,9,624.9444444444445,285.38147876028205,566.5
tire1_tire4,71,9,644.5070422535211,277.61231308836005,575
tire2_tire3,72,9,607.6944444444445,299.30048205816576,552
tire2_tire4,72,9,602.75,226.53083302248098,545
tire3_tire4,71,9,636.0704225352113,229.97927384525403,567
tweezers1_tweezers2,110,14,540.3909090909091,182.5902363545489,513
tweezers1_tweezers3,111,14,517.7567567567568,100.82570164904438,512
tweezers1_tweezers4,111,14,549.2342342342342,280.9940133608464,495
tweezers2_tweezers3,108,14,630.0740740740741,169.68919932716264,586.5
tweezers2_tweezers4,112,14,554.8125,158.6974304673423,520
tweezers3_tweezers4,111,14,543.0900900900901,156.83822293569946,502
washer1_washer2,95,12,607.2421052631579,229.33672705979617,550
washer1_washer3,95,12,599.6947368421053,145.96043428360917,566
washer1_washer4,95,12,579.5684210526316,213.08042895800452,535
washer2_washer3,95,12,577.1473684210526,146.43762512247926,541
washer2_washer4,96,12,569.9479166666666,188.09395019744045,538.5
washer3_washer4,94,12,621.0957446808511,227.8461596227064,551
wheelbarrow1_wheelbarrow2,104,13,565.4038461538462,190.6358048272959,511
wheelbarrow1_wheelbarrow3,97,13,679.2371134020618,220.5122243963981,615
wheelbarrow1_wheelbarrow4,104,13,605.0384615384617,407.3169830978574,509.5
wheelbarrow2_wheelbarrow3,103,13,571.7669902912621,364.9388668622941,510
wheelbarrow2_wheelbarrow4,102,13,551.2254901960785,170.31874061072278,513
wheelbarrow3_wheelbarrow4,104,13,590.0384615384615,393.4122550071912,517
wheelchair1_wheelchair2,144,18,591.0555555555555,241.19323935421306,540.5
wheelchair1_wheelchair3,143,18,714.5664335664337,1371.6791681270845,546
wheelchair1_wheelchair4,143,18,561.6013986013986,183.12329948679812,527
wheelchair2_wheelchair3,143,18,630.2097902097902,316.3044943451063,567
wheelchair2_wheelchair4,143,18,570.7202797202796,169.77252409606618,543
wheelchair3_wheelchair4,144,18,573.1944444444445,239.4324664344959,521
