slot,cat1,cat2,cat3
46,fork,tire,clock
47,fork,plate,tire
48,clock,fork,musicstand
49,plate,tire,clock
50,fork,musicstand,plate
51,tire,washer,clock
52,fork,musicstand,plate
53,tire,washer,wheelbarrow
54,clock,fork,musicstand
55,plate,starfish,tire
56,tweezers,washer,wheelbarrow
57,candybar,clock,fork
58,musicstand,plate,starfish
59,tire,tweezers,washer
60,wheelbarrow,candybar,clock
61,fork,musicstand,plate
62,starfish,tire,tweezers
63,washer,wheelbarrow,candybar
64,clock,fork,musicstand
65,plate,starfish,tire
66,tweezers,washer,wheelbarrow
67,candybar,clock,fork
68,musicstand,plate,starfish
69,tire,tweezers,washer
70,wheelbarrow,wheelchair,candybar
71,clock,fork,musicstand
72,plate,starfish,tire
73,tweezers,washer,wheelbarrow
74,wheelchair,candybar,clock
75,fork,musicstand,plate
76,starfish,tire,tweezers
77,washer,wheelbarrow,wheelchair
