trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,fridge,fridge1_vs_fridge1,stimuli/images/identity/fridge1.png,stimuli/images/identity/fridge1.png,same,False
identity,handmirror,handmirror1_vs_handmirror1,stimuli/images/identity/handmirror1.png,stimuli/images/identity/handmirror1.png,same,False
identity,handmirror,handmirror1_vs_handmirror1,stimuli/images/identity/handmirror1.png,stimuli/images/identity/handmirror1.png,same,False
identity,handmirror,handmirror1_vs_handmirror1,stimuli/images/identity/handmirror1.png,stimuli/images/identity/handmirror1.png,same,False
