trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
same,,bench1_vs_bench1,stimuli/images/practice/bench1.png,stimuli/images/practice/bench1.png,same,False
same,,bicycle1_vs_bicycle1,stimuli/images/practice/bicycle1.png,stimuli/images/practice/bicycle1.png,same,False
same,,button1_vs_button1,stimuli/images/practice/button1.png,stimuli/images/practice/button1.png,same,False
same,,cactus1_vs_cactus1,stimuli/images/practice/cactus1.png,stimuli/images/practice/cactus1.png,same,False
same,,cake1_vs_cake1,stimuli/images/practice/cake1.png,stimuli/images/practice/cake1.png,same,False
same,,cow1_vs_cow1,stimuli/images/practice/cow1.png,stimuli/images/practice/cow1.png,same,False
same,,deer1_vs_deer1,stimuli/images/practice/deer1.png,stimuli/images/practice/deer1.png,same,False
same,,die1_vs_die1,stimuli/images/practice/die1.png,stimuli/images/practice/die1.png,same,False
same,,domino1_vs_domino1,stimuli/images/practice/domino1.png,stimuli/images/practice/domino1.png,same,False
same,,donut1_vs_donut1,stimuli/images/practice/donut1.png,stimuli/images/practice/donut1.png,same,False
same,,hat1_vs_hat1,stimuli/images/practice/hat1.png,stimuli/images/practice/hat1.png,same,False
same,,orangutan1_vs_orangutan1,stimuli/images/practice/orangutan1.png,stimuli/images/practice/orangutan1.png,same,False
same,,pear1_vs_pear1,stimuli/images/practice/pear1.png,stimuli/images/practice/pear1.png,same,False
same,,pipe1_vs_pipe1,stimuli/images/practice/pipe1.png,stimuli/images/practice/pipe1.png,same,False
same,,redcabbage_vs_redcabbage,stimuli/images/practice/redcabbage.png,stimuli/images/practice/redcabbage.png,same,False
same,,statueofliberty1_vs_statueofliberty1,stimuli/images/practice/statueofliberty1.png,stimuli/images/practice/statueofliberty1.png,same,False
same,,swan1_vs_swan1,stimuli/images/practice/swan1.png,stimuli/images/practice/swan1.png,same,False
same,,watch1_vs_watch1,stimuli/images/practice/watch1.png,stimuli/images/practice/watch1.png,same,False
same,,wineglass1_vs_wineglass1,stimuli/images/practice/wineglass1.png,stimuli/images/practice/wineglass1.png,same,False
same,,yacht1_vs_yacht1,stimuli/images/practice/yacht1.png,stimuli/images/practice/yacht1.png,same,False
same,,zebra1_vs_zebra1,stimuli/images/practice/zebra1.png,stimuli/images/practice/zebra1.png,same,False
different,,bench1_vs_bicycle1,stimuli/images/practice/bench1.png,stimuli/images/practice/bicycle1.png,different,True
