trial_index,condition,trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
1,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
2,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
3,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
4,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
5,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
6,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
7,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
8,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
9,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
10,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
11,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
12,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
13,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
14,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
15,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
16,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
17,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
18,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
19,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
20,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
21,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
22,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
23,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
24,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
25,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
